,Alphaville,Ibirapuera,Ipiranga,Jardins,Jd._America
Alphaville,,0.16703937794059745,0.24128141455865096,0.273588592689389,0.15843345887499008
Ibirapuera,0.16703937794059745,,0.22879394543298914,0.1328722227490411,0.33400717587129486
Ipiranga,0.24128141455865096,0.22879394543298914,,0.19882744345671963,0.15416294462306737
Jardins,0.273588592689389,0.1328722227490411,0.19882744345671963,,0.14993222731255573
Jd._America,0.15843345887499008,0.33400717587129486,0.15416294462306737,0.14993222731255573,
