,Alphaville,Ibirapuera,Ipiranga,Jardins,Jd._America
Alphaville,,0.13937726054256921,0.08344116931082603,0.059915446872690105,0.07342568369241945
Ibirapuera,0.13937726054256921,,0.13730544284005458,0.06898976431925952,0.22881373137919353
Ipiranga,0.08344116931082603,0.13730544284005458,,0.06821366749212561,0.08341473311383767
Jardins,0.059915446872690105,0.06898976431925952,0.06821366749212561,,0.05413133038224119
Jd._America,0.07342568369241945,0.22881373137919353,0.08341473311383767,0.05413133038224119,
